,song_title,artists,song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time signature
80,Holiday In Cambodia,['Dead Kennedys'],spotify:track:0uzyN8QWbPGpOQLAXh27El,0.133,0.927,7.0,-5.371,1.0,0.0741,0.00344,0.00044,0.0915,0.5,197.708,224867.0,4.0
81,Too Drunk To F**k,['Dead Kennedys'],spotify:track:4Z1Py5UCvSLtLgoauEMBng,0.437,0.93,7.0,-8.71,1.0,0.0554,0.000683,0.0161,0.323,0.378,104.561,160800.0,4.0
82,Ghouls Night Out,['Misfits'],spotify:track:69yhhStnDQLduaaKkgDXF7,0.443,0.969,2.0,-11.366,1.0,0.0811,0.478,0.756,0.0573,0.183,105.184,117957.0,4.0
83,You,['Bad Religion'],spotify:track:71dRBSmaKMdaFZPeZlVzf5,0.319,0.995,0.0,-2.94,1.0,0.0848,0.000653,0.0,0.274,0.334,155.232,126520.0,4.0
84,Anxiety,['Bad Religion'],spotify:track:6zVRyd0ncNhuK2GjmKGKje,0.352,0.988,10.0,-3.338,0.0,0.102,0.00227,0.0,0.292,0.502,150.534,128653.0,4.0
85,Dammit,['blink-182'],spotify:track:6WkSUgo1VdpzgtiXKlFPcY,0.426,0.972,0.0,-5.122,1.0,0.0954,0.0017,0.0,0.171,0.341,111.221,165373.0,4.0
86,Sometimes,['blink-182'],spotify:track:67DcrieyzH7kOJUqbAov3L,0.345,0.945,0.0,-8.247,1.0,0.0424,0.00029,0.0277,0.277,0.909,105.55,68933.0,4.0
87,Does My Breath Smell?,['blink-182'],spotify:track:6XvCgvHzNff98XlI8YGaAp,0.369,0.839,0.0,-8.095,1.0,0.0765,0.00199,0.0,0.0625,0.719,81.369,158093.0,4.0
88,Stuff That I Like,['Bomb the Music Industry!'],spotify:track:2kDnjBco7OEEO0jXYlemEJ,0.543,0.986,7.0,-3.74,1.0,0.191,0.0775,0.0,0.791,0.311,100.044,173413.0,4.0
89,Bike Test 1 2 3,['Bomb the Music Industry!'],spotify:track:1AOZ7vnaMCy9yx59xiE04f,0.385,0.943,2.0,-4.459,1.0,0.252,0.022,0.0,0.396,0.123,120.165,157560.0,4.0
